32	1	TYPE_CODE_COMPANY	DIM_COMP
21	15	TYPE_CODE_LP_FREQUENCY	DIM_LPFRQ
22	60	TYPE_CODE_LP_FREQUENCY	DIM_LPFRQ
34	GES/00001/3.0A	TYPE_CODE_RATECATEGORY	DIM_TARIFF
44	GES/00001/6.1	TYPE_CODE_RATECATEGORY	DIM_TARIFF
55	GES/00001/2.0A	TYPE_CODE_RATECATEGORY	DIM_TARIFF
59	GES/00001/3.1A	TYPE_CODE_RATECATEGORY	DIM_TARIFF
61	GES/00001/2.1A	TYPE_CODE_RATECATEGORY	DIM_TARIFF
64	GES/00001/20DHA	TYPE_CODE_RATECATEGORY	DIM_TARIFF
11	5	TYPE_CODE_TERRITORY	DIM_COUNTRY
35	7530	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
39	7700	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
42	7009	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
43	7817	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
45	7559	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
46	7800	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
47	7120	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
49	7872	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
57	7710	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
58	7181	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
62	7860	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
66	7730	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
100	7010	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
101	7748	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
102	7687	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
103	7849	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
104	7320	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
204	7420	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
304	7440	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
404	7659	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
405	7150	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
505	7006	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
605	7500	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
705	7330	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
805	7720	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
905	7769	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
1005	7712	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
1105	7608	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
1205	7005	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
1305	7313	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
1405	7830	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
1505	7714	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
1605	7170	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
1705	7590	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
1805	7450	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
1905	7670	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
2005	7550	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
2105	7015	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
2205	7814	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
2305	7157	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
2405	7609	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
2505	7184	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
2605	7713	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
2705	7160	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
2805	7611	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
2905	7510	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
2906	7820	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3006	7100	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3106	7560	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3206	7430	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3306	7839	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3406	7014	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3506	7110	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3507	7194	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3508	7703	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3509	7141	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3510	7208	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3511	7660	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3512	7190	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3513	7819	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3514	7691	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3515	7004	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3517	7260	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3518	7469	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3519	7579	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3520	7199	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3521	7812	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3522	7459	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3622	7200	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3722	7250	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3822	7580	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3823	7600	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
3923	7520	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4023	7871	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4024	7140	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4025	7183	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4125	7701	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4126	7610	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4227	7650	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4327	7529	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4328	7702	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4428	7003	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4429	7640	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4529	7210	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4530	7760	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4630	7240	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4730	7198	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4830	7013	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
4930	7689	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5030	7180	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5031	7179	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5131	7639	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5231	7680	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5232	7012	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5332	7711	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5333	7811	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5334	7144	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5434	7360	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5435	7310	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5436	7870	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5437	7750	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5537	7519	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5538	7230	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5539	7008	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5540	7630	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5640	7350	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5641	7002	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5642	7458	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5643	7620	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5644	7159	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5645	7629	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5646	7740	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5647	7470	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5648	7300	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5649	7196	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5749	7749	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5750	7143	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5751	7011	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5752	7349	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5753	7688	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5853	7669	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5953	7460	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5954	7220	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5955	7810	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5956	7315	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5957	7193	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5958	7007	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5959	7340	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5960	7850	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5961	7816	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5962	7001	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5963	7638	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5964	7314	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5965	7400	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5966	7815	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5967	7570	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
5968	7840	TYPE_CODE_TERRITORY_SUBCODE	DIM_COUNTRY_SUB
63	READING_CYCLE	TYPE_CYCLE_EXTRACTION	DT_EXTC
3	FUT_1	TYPE_MAGNITUDE	DIM_MAGN
4	R_PLUS	TYPE_MAGNITUDE	DIM_MAGN
6	FUT_2	TYPE_MAGNITUDE	DIM_MAGN
7	R2	TYPE_MAGNITUDE	DIM_MAGN
12	A2	TYPE_MAGNITUDE	DIM_MAGN
13	R3	TYPE_MAGNITUDE	DIM_MAGN
16	PWR_EXC_A1	TYPE_MAGNITUDE	DIM_MAGN
17	R_MINUS	TYPE_MAGNITUDE	DIM_MAGN
18	MAX_PWR_A1	TYPE_MAGNITUDE	DIM_MAGN
23	R4	TYPE_MAGNITUDE	DIM_MAGN
26	R1	TYPE_MAGNITUDE	DIM_MAGN
28	A1	TYPE_MAGNITUDE	DIM_MAGN
8	R	TYPE_MEASURE	DT_MEASURE
10	PC	TYPE_MEASURE	DT_MEASURE
24	LP	TYPE_MEASURE	DT_MEASURE
38	REGISTRADOR	TYPE_METER	DIM_METER
48	CERVANTES	TYPE_METER	DIM_METER
4127	CONTADOR	TYPE_METER	DIM_METER
31	3	TYPE_POINT	DIM_PNT_TP
40	4	TYPE_POINT	DIM_PNT_TP
50	1	TYPE_POINT	DIM_PNT_TP
51	5	TYPE_POINT	DIM_PNT_TP
52	2	TYPE_POINT	DIM_PNT_TP
30	P	TYPE_POINT_FUNCTION	DIM_FUNC_TP
3516	R	TYPE_POINT_FUNCTION	DIM_FUNC_TP
14	INSTANT_READING	TYPE_READING	DIM_READ_TYPE
29	SYNC_READING	TYPE_READING	DIM_READ_TYPE
56	MRK_READING	TYPE_READING	DIM_READ_TYPE
33	FORCED_MANUAL	TYPE_READING_MODE	DIM_READ_MODE
36	MANUAL	TYPE_READING_MODE	DIM_READ_MODE
53	TELEMETERED	TYPE_READING_MODE	DIM_READ_MODE
54	AMMS_RRO	TYPE_READING_MODE	DIM_READ_MODE
65	CS_INHIBITED	TYPE_READING_MODE	DIM_READ_MODE
9	ELECTRONIC	TYPE_SOURCE	DIM_SOURCE_T
19	REMOTE	TYPE_SOURCE	DIM_SOURCE_T
1	ALMA	TYPE_SOURCE_SYSTEM	DIM_SOURCE_S
2	DIANA	TYPE_SOURCE_SYSTEM	DIM_SOURCE_S
5	AMM	TYPE_SOURCE_SYSTEM	DIM_SOURCE_S
20	CS	TYPE_SOURCE_SYSTEM	DIM_SOURCE_S
37	3	TYPE_STATUS_CONTRACT	DIM_CNT_STATUS
41	18	TYPE_STATUS_CONTRACT	DIM_CNT_STATUS
5969	21	TYPE_STATUS_CONTRACT	DIM_CNT_STATUS
60	EXTRACTED	TYPE_STATUS_EXTRACTED	DIM_INT_STATUS
15	ABS_WITH_DATE	TYPE_TIMESLOT	DIM_SLOT
25	INC	TYPE_TIMESLOT	DIM_SLOT
27	ABS	TYPE_TIMESLOT	DIM_SLOT
1235	0	TYPE_AGGR	DIM_AGGR
4321	9	TYPE_MEASURE_VALUE	DIM_MEASURE
